BAB;K_NR1;K_TYP1;VON;K_NR2;K_TYP2;NACH;KM;STATUS
  2;54  ;AS  ;Braunschweig-Hafen                                ;55  ;AK  ;Braunschweig-Nord, Kreuz                          ; 3,4;11
  2;55  ;AK  ;Braunschweig-Nord, Kreuz                          ;56  ;AS  ;Braunschweig-Flughafen                            ; 2,9;11
  2;56  ;AS  ;Braunschweig-Flughafen                            ;57  ;AS  ;Braunschweig-Ost                                  ; 4,6;11
  2;57  ;AS  ;Braunschweig-Ost                                  ;58  ;AK  ;Wolfsburg/Königslutter, Kreuz                     ; 6,8;11
  2;58  ;AK  ;Wolfsburg/Königslutter, Kreuz                     ;59  ;AS  ;Königslutter                                      ; 6,0;11
  2;59  ;AS  ;Königslutter                                      ;60  ;AS  ;Rennau                                            ; 8,2;11
  2;60  ;AS  ;Rennau                                            ;61  ;AS  ;Helmstedt-West                                    ; 5,0;11
  2;61  ;AS  ;Helmstedt-West                                    ;62  ;AS  ;Helmstedt-Zentrum                                 ; 2,7;11
  2;62  ;AS  ;Helmstedt-Zentrum                                 ;-   ;AS  ;Helmstedt-Ost/TR Waldkater                        ; 4,1;11
  2;-   ;AS  ;Helmstedt-Ost/TR Waldkater                        ;64  ;AS  ;Alleringersleben                                  ; 5,6;11
  2;63  ;AS  ;Marienborn/Helmstedt                              ;-   ;AS  ;Helmstedt-Ost/TR Waldkater                        ; 1,5;rr
  2;64  ;AS  ;Alleringersleben                                  ;63  ;AS  ;Marienborn/Helmstedt                              ; 4,1;rr
  2;64  ;AS  ;Alleringersleben                                  ;65  ;AS  ;Eilsleben                                         ; 9,5;11
  2;65  ;AS  ;Eilsleben                                         ;66  ;AS  ;Bornstedt                                         ; 6,5;11
  2;66  ;AS  ;Bornstedt                                         ;67  ;AS  ;Irxleben                                          ; 9,0;11
  2;67  ;AS  ;Irxleben                                          ;68  ;AK  ;Magdeburg, Kreuz                                  ; 4,1;11
  2;68  ;AK  ;Magdeburg, Kreuz                                  ;69  ;AS  ;Magdeburg-Kannenstieg                             ; 3,0;11
  2;69  ;AS  ;Magdeburg-Kannenstieg                             ;70  ;AS  ;Magdeburg-Zentrum                                 ; 2,4;11
  2;70  ;AS  ;Magdeburg-Zentrum                                 ;71  ;AS  ;Magdeburg-Rothensee                               ; 4,4;11
  2;71  ;AS  ;Magdeburg-Rothensee                               ;72  ;AS  ;Lostau                                            ; 3,9;11
  2;72  ;AS  ;Lostau                                            ;73  ;AS  ;Burg-Zentrum                                      ; 7,2;11
  2;73  ;AS  ;Burg-Zentrum                                      ;74  ;AS  ;Burg-Ost                                          ; 4,9;11
  2;74  ;AS  ;Burg-Ost                                          ;75  ;AS  ;Theeßen                                           ;11,9;11
  2;75  ;AS  ;Theeßen                                           ;76  ;AS  ;Ziesar                                            ;13,3;11
  2;76  ;AS  ;Ziesar                                            ;77  ;AS  ;Wollin                                            ;15,3;11
  2;77  ;AS  ;Wollin                                            ;78  ;AS  ;Brandenburg                                       ;12,7;11
  2;78  ;AS  ;Brandenburg                                       ;79  ;AS  ;Netzen                                            ; 7,2;11
  2;79  ;AS  ;Netzen                                            ;80  ;AS  ;Lehnin                                            ; 4,1;11
  2;80  ;AS  ;Lehnin                                            ;81  ;AD  ;Werder, Dreieck                                   ; 4,0;11
  3;1   ;BG  ;Elten, Bundesgrenze                               ;2   ;AS  ;Elten                                             ; 2,1;11
  3;2   ;AS  ;Elten                                             ;3   ;AS  ;Emmerich                                          ; 5,2;11
  3;3   ;AS  ;Emmerich                                          ;4   ;AS  ;Rees                                              ;14,9;11
  3;4   ;AS  ;Rees                                              ;5   ;AS  ;Hamminkeln                                        ;13,2;11
  3;5   ;AS  ;Hamminkeln                                        ;6   ;AS  ;Wesel                                             ;13,4;11
  3;6   ;AS  ;Wesel                                             ;7   ;AS  ;Hünxe                                             ; 3,3;11
  3;7   ;AS  ;Hünxe                                             ;8   ;AS  ;Dinslaken-Nord                                    ; 6,8;11
